




Julian Date (days)   sc_1_X (km)   sc_1_Y (km)   sc_1_Z (km)   sc_1_V_X (km/s)   sc_1_V_Y (km/s)   sc_1_V_Z (km/s)
2463964.00000   148872313.42073   0.00000   -1241734.97879   -0.00000   29.92851   0.00000
2463964.36537   148869336.12851   943819.16576   -1241710.14537   -0.18882   29.92791   0.00157
2463964.73073   148860404.37266   1887600.58072   -1241635.64614   -0.37763   29.92611   0.00315
2463965.09610   148845518.51559   2831306.49566   -1241511.48410   -0.56642   29.92312   0.00472
2463965.46146   148824679.16130   3774899.16450   -1241337.66431   -0.75520   29.91893   0.00630
2463965.82683   148797887.15536   4718340.84590   -1241114.19380   -0.94394   29.91355   0.00787
2463966.19219   148765143.58486   5661593.80481   -1240841.08166   -1.13264   29.90696   0.00945
2463966.55756   148726449.77837   6604620.31407   -1240518.33895   -1.32130   29.89919   0.01102
2463966.92292   148681807.30588   7547382.65594   -1240145.97879   -1.50990   29.89021   0.01259
2463967.28829   148631217.97875   8489843.12374   -1239724.01626   -1.69844   29.88004   0.01417
2463967.65365   148574683.84957   9431964.02336   -1239252.46850   -1.88692   29.86868   0.01574
2463968.01902   148512207.21215   10373707.67487   -1238731.35464   -2.07531   29.85612   0.01731
2463968.38438   148443790.60135   11315036.41408   -1238160.69582   -2.26363   29.84236   0.01888
2463968.74975   148369436.79303   12255912.59412   -1237540.51520   -2.45185   29.82741   0.02045
2463969.11512   148289148.80388   13196298.58698   -1236870.83792   -2.63997   29.81127   0.02202
2463969.48048   148202929.89128   14136156.78513   -1236151.69118   -2.82798   29.79394   0.02359
2463969.84585   148110783.55323   15075449.60304   -1235383.10414   -3.01588   29.77542   0.02516
2463970.21121   148012713.52811   16014139.47878   -1234565.10798   -3.20366   29.75570   0.02672
2463970.57658   147908723.79455   16952188.87557   -1233697.73589   -3.39131   29.73480   0.02829
2463970.94194   147798818.57128   17889560.28336   -1232781.02306   -3.57881   29.71271   0.02985
2463971.30731   147683002.31691   18826216.22035   -1231815.00667   -3.76618   29.68943   0.03141
2463971.67267   147561279.72973   19762119.23463   -1230799.72592   -3.95339   29.66496   0.03297
2463972.03804   147433655.74755   20697231.90566   -1229735.22199   -4.14044   29.63930   0.03454
2463972.40340   147300135.54742   21631516.84589   -1228621.53806   -4.32733   29.61246   0.03609
